INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000319,201,'2020-01-01','2020-01-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000017,502,'2020-02-27','2020-03-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000429,103,'2020-02-28','2020-03-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000035,107,'2020-02-28','2020-03-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000208,203,'2020-02-28','2020-03-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000015,303,'2020-02-28','2020-03-31');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000428,305,'2020-02-28','2020-03-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000050,402,'2020-02-28','2020-05-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000302,406,'2020-02-28','2020-03-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000430,509,'2020-02-28','2020-03-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000485,605,'2020-02-28','2020-03-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000299,101,'2020-02-29','2020-03-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000239,102,'2020-02-29','2020-03-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000496,106,'2020-02-29','2020-03-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000275,302,'2020-02-29','2020-03-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000181,307,'2020-02-29','2020-03-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000190,403,'2020-02-29','2020-03-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000352,505,'2020-02-29','2020-03-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000207,601,'2020-02-29','2020-03-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000420,210,'2020-03-01','2020-03-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000046,401,'2020-03-01','2020-03-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000114,410,'2020-03-01','2020-03-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000052,110,'2020-03-02','2020-03-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000043,204,'2020-03-02','2020-03-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000306,206,'2020-03-02','2020-03-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000383,207,'2020-03-02','2020-03-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000103,208,'2020-03-02','2020-03-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000037,209,'2020-03-02','2020-03-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000378,308,'2020-03-02','2020-03-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000072,310,'2020-03-02','2020-03-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000092,608,'2020-03-02','2020-03-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000346,505,'2020-03-04','2020-03-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000499,609,'2020-03-04','2020-03-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000200,201,'2020-03-05','2020-03-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000115,306,'2020-03-05','2020-03-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000088,307,'2020-03-05','2020-03-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000438,309,'2020-03-05','2020-03-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000013,403,'2020-03-05','2020-03-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000086,503,'2020-03-05','2020-03-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000493,507,'2020-03-05','2020-03-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000238,610,'2020-03-05','2020-03-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000046,104,'2020-03-06','2020-03-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000327,107,'2020-03-06','2020-03-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000473,110,'2020-03-06','2020-03-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000077,304,'2020-03-06','2020-03-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000462,506,'2020-03-06','2020-03-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000072,509,'2020-03-06','2020-03-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000403,105,'2020-03-07','2020-03-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000073,401,'2020-03-07','2020-03-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000494,404,'2020-03-07','2020-03-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000423,407,'2020-03-07','2020-03-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000094,409,'2020-03-07','2020-03-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000458,602,'2020-03-07','2020-03-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000261,208,'2020-03-08','2020-03-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000433,302,'2020-03-09','2020-03-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000035,310,'2020-03-09','2020-03-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000411,403,'2020-03-09','2020-03-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000463,405,'2020-03-09','2020-04-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000307,410,'2020-03-09','2020-03-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000359,502,'2020-03-09','2020-03-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000241,505,'2020-03-09','2020-03-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000169,608,'2020-03-09','2020-03-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000024,503,'2020-03-10','2020-03-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000075,103,'2020-03-11','2020-05-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000149,409,'2020-03-11','2020-03-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000356,406,'2020-03-12','2020-03-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000466,408,'2020-03-12','2020-03-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000468,510,'2020-03-12','2020-03-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000142,601,'2020-03-12','2020-03-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000390,604,'2020-03-12','2020-03-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000310,607,'2020-03-12','2020-03-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000105,609,'2020-03-12','2020-03-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000195,104,'2020-03-13','2020-03-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000474,110,'2020-03-13','2020-03-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000402,302,'2020-03-13','2020-03-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000316,407,'2020-03-13','2020-03-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000118,504,'2020-03-13','2020-03-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000100,206,'2020-03-14','2020-03-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000411,210,'2020-03-14','2020-03-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000128,308,'2020-03-14','2020-03-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000401,309,'2020-03-14','2020-03-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000244,404,'2020-03-14','2020-03-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000090,501,'2020-03-14','2020-03-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000228,606,'2020-03-14','2020-03-17');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000315,205,'2020-03-15','2020-03-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000164,610,'2020-03-15','2020-03-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000241,105,'2020-03-16','2020-03-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000042,403,'2020-03-16','2020-03-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000055,507,'2020-03-16','2020-03-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000499,510,'2020-03-16','2020-03-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000436,602,'2020-03-17','2020-03-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000078,310,'2020-03-19','2020-03-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000365,508,'2020-03-19','2020-03-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000199,604,'2020-03-19','2020-03-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000076,606,'2020-03-19','2020-03-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000248,201,'2020-03-20','2020-03-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000465,208,'2020-03-20','2020-03-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000502,302,'2020-03-20','2020-03-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000222,305,'2020-03-20','2020-03-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000438,504,'2020-03-20','2020-03-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000504,107,'2020-03-21','2020-03-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000012,204,'2020-03-21','2020-03-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000315,209,'2020-03-21','2020-03-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000390,306,'2020-03-21','2020-03-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000329,410,'2020-03-21','2020-03-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000466,104,'2020-03-23','2020-03-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000090,110,'2020-03-23','2020-03-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000387,208,'2020-03-23','2020-03-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000252,304,'2020-03-23','2020-03-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000133,506,'2020-03-23','2020-03-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000448,510,'2020-03-23','2020-03-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000210,602,'2020-03-23','2020-03-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000377,608,'2020-03-23','2020-03-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000170,206,'2020-03-25','2020-03-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000494,406,'2020-03-25','2020-05-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000374,108,'2020-03-26','2020-03-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000354,301,'2020-03-26','2020-03-29');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000207,407,'2020-03-26','2020-03-29');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000472,606,'2020-03-26','2020-04-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000313,102,'2020-03-27','2020-04-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000487,110,'2020-03-27','2020-03-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000375,404,'2020-03-27','2020-03-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000355,509,'2020-03-27','2020-03-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000481,203,'2020-03-28','2020-03-31');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000500,204,'2020-03-28','2020-03-31');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000303,210,'2020-03-28','2020-04-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000095,310,'2020-03-28','2020-04-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000034,401,'2020-03-28','2020-04-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000035,403,'2020-03-28','2020-04-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000108,408,'2020-03-28','2020-03-31');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000277,503,'2020-03-28','2020-04-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000266,603,'2020-03-28','2020-03-31');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000128,604,'2020-03-28','2020-03-31');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000321,209,'2020-03-29','2020-05-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000505,506,'2020-03-29','2020-04-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000178,104,'2020-03-30','2020-04-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000209,108,'2020-03-30','2020-04-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000284,109,'2020-03-30','2020-04-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000234,201,'2020-03-30','2020-04-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000195,305,'2020-03-30','2020-04-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000291,407,'2020-03-30','2020-04-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000469,409,'2020-03-30','2020-06-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000192,410,'2020-03-30','2020-04-02');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000249,507,'2020-03-30','2020-04-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000441,602,'2020-03-30','2020-04-03');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000376,501,'2020-03-31','2020-04-04');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000309,510,'2020-03-31','2020-04-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000336,603,'2020-04-01','2020-04-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000091,610,'2020-04-01','2020-04-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000151,105,'2020-04-02','2020-04-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000287,206,'2020-04-02','2020-04-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000318,302,'2020-04-02','2020-04-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000346,306,'2020-04-02','2020-04-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000487,609,'2020-04-02','2020-04-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000492,106,'2020-04-03','2020-04-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000352,506,'2020-04-03','2020-04-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000163,607,'2020-04-03','2020-04-06');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000418,102,'2020-04-04','2020-04-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000385,109,'2020-04-04','2020-04-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000243,207,'2020-04-04','2020-04-07');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000102,310,'2020-04-04','2020-04-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000009,407,'2020-04-04','2020-04-08');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000262,408,'2020-04-04','2020-04-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000374,502,'2020-04-04','2020-04-05');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000110,110,'2020-04-06','2020-04-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000053,205,'2020-04-06','2020-04-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000414,302,'2020-04-06','2020-04-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000068,303,'2020-04-06','2020-04-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000459,304,'2020-04-06','2020-04-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000251,403,'2020-04-06','2020-04-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000074,410,'2020-04-06','2020-04-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000499,501,'2020-04-06','2020-04-09');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000186,505,'2020-04-06','2020-04-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000358,510,'2020-04-06','2020-04-11');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000222,208,'2020-04-07','2020-04-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000447,404,'2020-04-07','2020-04-10');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000398,107,'2020-04-09','2020-04-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000015,206,'2020-04-09','2020-04-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000433,508,'2020-04-09','2020-04-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000055,603,'2020-04-09','2020-04-12');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000216,104,'2020-04-10','2020-04-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000161,105,'2020-04-10','2020-04-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000346,301,'2020-04-10','2020-04-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000074,405,'2020-04-10','2020-04-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000463,407,'2020-04-10','2020-04-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000241,601,'2020-04-10','2020-04-13');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000121,608,'2020-04-10','2020-04-14');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000217,108,'2020-04-11','2020-04-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000476,208,'2020-04-11','2020-04-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000302,308,'2020-04-11','2020-04-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000113,502,'2020-04-11','2020-04-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000069,101,'2020-04-12','2020-04-15');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000096,203,'2020-04-13','2020-04-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000337,603,'2020-04-13','2020-04-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000486,606,'2020-04-13','2020-04-16');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000045,309,'2020-04-14','2020-04-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000242,110,'2020-04-15','2020-04-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000499,410,'2020-04-15','2020-04-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000029,105,'2020-04-16','2020-04-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000279,303,'2020-04-16','2020-04-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000233,307,'2020-04-16','2020-04-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000257,502,'2020-04-16','2020-04-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000299,608,'2020-04-16','2020-04-19');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000360,609,'2020-04-16','2020-04-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000286,201,'2020-04-17','2020-04-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000065,207,'2020-04-17','2020-04-18');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000382,604,'2020-04-17','2020-04-20');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000493,102,'2020-04-18','2020-04-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000247,310,'2020-04-18','2020-04-22');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000348,403,'2020-04-18','2020-04-21');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000110,407,'2020-04-18','2020-04-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000503,107,'2020-04-20','2020-04-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000198,206,'2020-04-20','2020-04-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000304,208,'2020-04-20','2020-04-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000447,307,'2020-04-20','2020-04-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000377,605,'2020-04-20','2020-04-23');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000138,108,'2020-04-21','2020-04-24');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000432,306,'2020-04-21','2020-04-25');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000093,607,'2020-04-22','2020-04-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000105,410,'2020-04-23','2020-04-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000054,505,'2020-04-23','2020-04-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000364,602,'2020-04-23','2020-04-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000383,609,'2020-04-23','2020-04-29');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000444,610,'2020-04-23','2020-04-26');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000043,106,'2020-04-24','2020-04-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000014,401,'2020-04-24','2020-04-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000258,407,'2020-04-24','2020-04-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000226,502,'2020-04-24','2020-04-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000098,503,'2020-04-24','2020-04-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000393,506,'2020-04-24','2020-04-27');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000315,510,'2020-04-24','2020-04-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000052,102,'2020-04-25','2020-04-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000295,309,'2020-04-25','2020-04-28');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000448,608,'2020-04-25','2020-05-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000198,208,'2020-04-26','2020-04-29');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000270,310,'2020-04-26','2020-04-29');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000102,107,'2020-04-27','2020-04-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000415,501,'2020-04-27','2020-05-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000282,508,'2020-04-27','2020-04-30');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000310,601,'2020-04-27','2020-05-01');
INSERT INTO stays (patient_SSN, room_number, stay_start, stay_end) VALUES(500000283,605,'2020-04-27','2020-05-01');
